"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","35400","C","","","0"
"2017","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","36100","C","","","0"
"2018","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","37000","B","","","0"
"2019","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","36200","C","","","0"
"2020","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","38600","B","","","0"
"2021","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","40000","B","","","0"
"2022","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","36700","B","","","0"
"2023","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","37900","B","","","0"


