"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","82","","","","0"
"2024-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","96","","","","0"
"2025-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","29","","","","0"
"2025-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","133","","","","0"
"2025-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","143","","","","0"
"2025-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","83","","","","0"
"2015-01","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","0","","","","0"
"2015-04","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","65","","","","0"
"2015-07","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","25","","","","0"
"2015-10","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","55","","","","0"
"2016-01","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","17","","","","0"
"2016-04","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","21","","","","0"
"2016-07","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","65","","","","0"
"2016-10","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","105","","","","0"
"2017-01","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","8","","","","0"
