"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","261581","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","293062","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","303134","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","273686","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","219334","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","476485","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","453502","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","446816","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","417830","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","51211","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","52940","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","36897","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","32283","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","29441","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","23585","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","43341","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","57085","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","59302","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590627327","2.4.1.1","61137","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","63391","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","111954","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","91279","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","85950","","","","0"
