"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1386868","","","","0"
"2016","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1407766","","","","0"
"2017","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1437124","","","","0"
"2018","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1466353","","","","0"
"2019","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1496791","","","","0"
"2020","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1524974","","","","0"
"2021","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1540340","","","","0"
"2022","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1568982","","","","0"
"2023","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1610010","","","","0"
"2024","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1661966","","","","0"
"2025","Ottawa - Gatineau (CMA), Ontario/Quebec","2021S0503505","Total - gender","All ages","Persons","249","units","0","v1589930472","15.1.1","1700014","","","","0"
"2015","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1055546","","","","0"
